id,name,created_at,updated_at,client_short,platform_name
90c8cb7b-c782-414c-91ba-9da40e77cd59,YAI,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,YAI,YAI
9241f90f-fd37-4927-88ec-e0c7a7d724cb,Amplifon,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,AMP,AMPLIFON
9391a217-82b9-4b03-a8e0-757a03f398c2,University of Massachusetts - Amherst,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOMA,U MASS AMH
93f51873-9716-4d4f-9920-e302f97a3347,Otsuka,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,OTSU,OTSUKA
941624f3-b716-41dc-adcd-cade1e8c8119,Oner Active,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ONER,ONER ACTIV
966a2dd0-0dac-43e2-ae61-8a68588aee05,Grand Rapids Community College,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,GRCC,GRAND R CC
980712bc-e320-4288-bb2b-a6a9937c225f,"SUNY (Univ System, NYS)",2025-05-30 14:53:42.50822+00,2025-05-30 14:53:42.50822+00,SUNY,SUNY
9989f787-ba15-4296-8d26-6ca92c72a312,Stanford University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,STAN,STANFORD2
9a326507-4e57-4b2a-9801-2c5ccd0d5cc5,Yakima Chief Hops,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,YCH,YCH
9bc4d902-58ce-4cb2-8732-81969c122250,Chesapeake Bay Foundation (CBF),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CBF,CBF
a2ed69a1-50ed-444f-96b9-9df2f9de0931,"University of California, Office of the President",2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOCOP,UCOFF PRES
a2f84b03-1278-4573-9cf6-ed31b3e7244d,Blue Ocean,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,BLU,BLUEOCEAN
a36f3bae-a72d-4825-9486-678f9ff9633f,Media Margin,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,MEMA,MEDIA MARG
a412c6b6-7263-44aa-9380-3ebd655ea1eb,Audika,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,AUD,AUDIKA
a9677f83-b6d6-4475-aa04-f61db166259e,UNC Greensboro,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UNC,UNC GREENS
a9ab805a-f567-4159-a62b-72d8dd22d60a,Adams State University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ADSU,ADAMS SU
aa710ad2-9fee-46b7-bd92-f570633ad11a,World Vision International,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,WVI,WORLD VISION
ab5c88f4-96a7-424d-8c05-aedebcbbe285,Colorado School of Mines,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CSOM,COL MINES
b5e79b17-6256-4649-93c4-49a3c56eaa7b,Compassion International,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,COMP,COMP INTL
b9426702-e8ba-4af5-83ad-d21961a93532,RCI Technologies,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,RCI,RCI TECH
bb7eb2ca-3d3d-4781-b068-d3127c035c13,Harry Winston,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,HAWI,HARRY WIN
bded05af-8e1f-428a-81a7-73bd719ad9ea,Kingspan Data and Flooring,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,KDATA,KINGSPAN
